Post ID,audience_id,platform_id,sentiment_id,Likes,Comments,Shares,Reach,Impressions,Engagement Rate
225,76,1,3,648,303,88,2439,3078,42.6
226,77,1,2,407,195,122,4850,5069,14.93
227,78,2,3,227,244,174,3482,1138,18.52
228,79,4,2,877,410,112,3226,8186,43.37
233,80,3,1,36,38,76,4893,8726,3.07
234,81,1,3,962,243,60,4413,9070,28.67
240,82,2,1,225,432,87,2301,8422,32.33
241,83,3,1,555,354,197,3796,8686,29.14
243,84,4,1,44,426,125,4653,4391,12.79
246,85,4,1,206,407,67,1836,2149,37.04
249,86,1,1,1000,306,160,3682,2313,39.82
252,87,3,1,192,357,180,4529,7097,16.1
254,88,4,3,100,134,155,4277,6525,9.1
255,89,3,1,950,391,102,4454,5088,32.4
256,90,2,1,155,187,147,2994,4557,16.33
257,91,1,1,191,250,141,2598,9950,22.4
258,92,2,2,143,57,151,2287,7623,15.35
259,93,1,1,445,175,35,1149,4923,57.01
260,94,4,2,763,312,144,3613,6596,33.74
266,95,2,1,257,395,69,4290,6939,16.81
270,96,3,3,409,110,44,1517,5913,37.11
271,97,3,1,510,178,168,2060,2921,41.55
273,98,2,1,380,356,32,2708,8107,28.36
276,99,4,2,421,201,29,4342,4870,14.99
279,100,4,1,105,35,134,2407,1114,11.38
280,101,4,1,136,51,65,4981,9177,5.06
281,102,4,3,846,75,56,3096,6655,31.56
282,103,3,1,454,184,156,4423,9114,17.95
283,104,3,1,35,436,157,2519,4206,24.93
285,105,2,1,620,51,113,4890,2322,16.03
287,106,3,1,627,466,106,4210,5481,28.48
290,107,3,1,758,186,33,1122,2596,87.08
291,108,4,1,467,51,38,2509,4738,22.16
295,109,4,1,966,216,197,1614,4272,85.44
296,110,1,3,713,483,59,2324,7779,54.0
300,111,4,1,279,477,64,4972,5759,16.49
301,112,1,1,58,21,128,3176,4406,6.52
307,113,1,2,951,433,193,4139,6373,38.1
310,114,2,1,771,217,70,3466,7035,30.53
311,115,3,1,803,257,122,3829,5763,30.87
313,116,4,2,171,259,104,4501,5947,11.86
315,117,4,1,935,429,140,1717,8489,87.59
316,118,1,1,245,108,101,2646,5508,17.16
330,119,3,2,100,64,34,4482,8858,4.42
331,120,2,2,318,128,162,4003,1692,15.19
334,121,2,1,751,234,146,4232,3083,26.72
341,122,2,3,73,435,7,3273,1974,15.73
342,123,2,1,899,477,7,4669,1302,29.62
343,124,2,2,477,15,9,1210,3831,41.4
344,125,3,2,398,495,89,4935,4194,19.9
345,126,3,1,590,11,144,1523,5627,48.92
346,127,2,1,537,288,120,2093,5966,45.15
350,128,3,3,954,236,141,4759,3868,27.97
351,129,4,1,237,50,149,2283,4216,19.1
352,130,2,1,154,28,5,1611,1613,11.61
353,131,2,1,801,282,173,2148,9679,58.47
354,132,2,1,641,1,103,2708,1427,27.51
355,133,3,1,496,288,188,3749,7658,25.93
359,134,3,1,755,250,198,3470,5363,34.67
360,135,2,1,243,313,47,3300,5726,18.27
364,136,4,3,932,380,43,4588,2166,29.53
365,137,1,1,296,109,178,4220,6231,13.82
368,138,1,2,343,350,15,3362,9135,21.06
369,139,4,1,412,9,10,2248,1314,19.17
374,140,3,1,40,187,146,859,4494,43.42
376,141,3,3,110,214,106,2940,7094,14.63
377,142,3,3,246,495,49,1518,2843,52.04
386,143,3,1,795,270,126,1730,6881,68.84
388,144,4,3,886,357,158,3441,6228,40.71
389,145,4,2,407,372,124,3924,3844,23.01
390,146,2,1,550,55,196,3184,9952,25.16
391,147,3,1,615,370,123,4798,6083,23.09
393,148,3,2,751,435,45,3612,2169,34.08
395,149,4,1,142,233,30,4762,8347,8.5
397,150,3,2,97,199,115,1222,6975,33.63
398,151,3,1,882,209,129,3344,9943,36.48
400,152,4,1,617,7,52,2575,8028,26.25
406,153,2,1,306,297,49,2107,8957,30.94
409,154,4,1,392,399,124,3802,5664,24.07
410,155,2,2,539,362,24,2670,3910,34.64
417,156,1,2,312,171,193,3866,1045,17.49
422,157,2,1,140,205,123,1666,6323,28.09
424,158,3,1,715,291,15,1460,4262,69.93
425,159,1,3,381,160,190,2370,8651,30.84
430,160,1,3,126,8,142,1469,3431,18.79
435,161,2,1,324,245,193,3619,9983,21.06
437,162,2,1,839,236,98,3988,7086,29.41
444,163,1,1,898,365,48,2724,2831,48.13
445,164,3,3,614,137,122,3644,9932,23.96
450,165,2,1,591,299,2,1407,3282,63.4
453,166,4,1,472,379,136,3479,6948,28.37
456,167,3,1,738,138,52,2795,2010,33.2
458,168,3,1,210,217,97,2191,4603,23.92
463,169,4,1,383,416,162,2543,3765,37.79
464,170,4,1,691,36,63,2575,3777,30.68
465,171,2,1,765,306,0,4412,1954,24.27
469,172,3,1,445,435,40,2824,3944,32.58
472,173,4,1,579,121,78,1561,4541,49.84
475,174,4,1,436,277,128,3995,7887,21.05
477,175,4,1,105,368,53,4368,5927,12.04
479,176,3,2,473,474,161,2945,4722,37.62
483,177,4,1,946,387,150,4420,1815,33.55
487,178,3,1,78,41,59,2518,4886,7.07
488,179,4,1,507,157,118,3042,8930,25.71
490,180,4,3,971,185,143,3553,5675,36.56
491,181,4,1,734,481,77,4761,6347,27.14
500,182,2,1,193,311,11,3278,6503,15.71
501,183,1,2,863,373,110,3484,4072,38.63
502,184,1,1,713,159,91,1388,3719,69.38
503,185,4,1,397,26,144,1532,3747,37.01
506,186,1,1,363,480,53,4507,2576,19.88
508,187,3,1,540,418,52,1759,4405,57.42
511,188,2,1,482,295,13,957,2630,82.55
512,189,2,1,172,43,188,3330,1973,12.1
514,190,1,1,649,21,108,2684,5936,28.99
517,191,4,1,574,374,32,1858,8563,52.74
518,192,1,1,742,26,104,2139,3302,40.77
521,193,1,1,75,249,198,4578,8940,11.4
529,194,1,1,280,451,46,1426,4312,54.49
530,195,2,1,484,360,178,3583,5666,28.52
531,196,2,1,966,491,177,4534,7066,36.04
532,197,4,1,494,478,42,3755,5433,27.0
534,198,2,3,767,359,187,1594,9846,82.37
540,199,2,3,737,53,33,2850,2177,28.88
541,200,4,1,857,215,151,2466,8587,49.59
543,201,4,2,313,191,129,1386,8228,45.67
547,202,2,1,635,423,162,3927,9344,31.07
548,203,2,1,665,99,133,3938,6849,22.78
554,204,2,1,265,211,197,3778,2174,17.81
555,205,4,2,81,147,66,1698,4621,17.31
556,206,4,1,755,431,159,4820,7840,27.9
563,207,2,2,143,485,124,2850,7106,26.39
564,208,2,1,658,374,161,2060,3848,57.91
569,209,1,1,150,196,146,1134,1758,43.39
572,210,1,2,243,130,119,1488,4065,33.06
574,211,3,1,929,406,100,4794,1782,29.93
575,212,3,1,308,93,53,1353,6921,33.56
577,213,1,1,483,402,182,2301,5777,46.37
580,214,1,1,264,368,99,4725,8432,15.47
582,215,3,1,815,483,102,3784,6911,37.0
585,216,1,1,559,415,134,1585,8478,69.91
589,217,2,1,549,141,132,4508,4155,18.23
595,218,1,2,485,425,62,2893,5419,33.6
596,219,4,2,294,72,105,2016,9880,23.36
597,220,1,3,824,330,182,2093,2479,63.83
599,221,4,3,806,466,7,1895,2287,67.49
601,222,4,1,223,285,89,2389,7347,24.99
602,223,2,2,601,136,103,4813,6568,17.45
604,224,2,2,190,270,7,1137,9625,41.07
608,225,2,1,226,394,107,3604,4898,20.17
609,226,3,3,973,451,139,3227,5670,48.44
617,227,3,1,375,270,50,1439,4366,48.3
618,228,2,1,571,217,35,3288,6063,25.03
621,229,4,2,746,334,86,2059,8448,56.63
626,230,3,1,730,383,84,1523,7368,78.59
628,231,4,1,745,294,91,3689,9709,30.63
629,232,1,1,16,146,85,851,4047,29.02
634,233,3,1,254,95,8,1968,4707,18.14
636,234,4,1,21,51,179,1260,3957,19.92
639,235,3,1,798,440,167,2330,8816,60.3
641,236,2,2,600,373,42,4440,8717,22.86
642,237,2,3,230,237,114,2705,7117,21.48
643,238,1,2,948,172,48,1491,7141,78.34
645,239,2,1,377,425,191,2885,5475,34.42
646,240,2,3,989,448,50,4082,4935,36.43
647,241,4,3,215,181,63,3385,5857,13.56
651,242,2,1,490,331,93,4047,9310,22.58
652,243,3,1,856,114,127,4176,7814,26.27
660,244,4,1,418,276,65,2076,2991,36.56
665,245,2,1,821,191,70,2194,3616,49.32
666,246,2,1,790,161,169,4958,2564,22.59
669,247,3,1,726,41,140,4476,2442,20.26
671,248,3,1,847,213,74,4281,1799,26.49
672,249,3,3,680,86,146,1539,7694,59.26
675,250,2,3,477,255,153,2175,9901,40.69
680,251,3,3,402,34,190,4341,7173,14.42
687,252,1,1,493,377,92,2019,1001,47.65
689,253,4,1,494,355,193,4848,5229,21.49
690,254,4,3,641,142,149,3390,5964,27.49
691,255,2,2,818,473,75,1955,9844,69.87
696,256,3,1,807,417,196,3809,2243,37.28
697,257,2,3,816,153,140,3953,2607,28.05
702,258,3,2,145,166,88,3799,8557,10.5
709,259,3,1,847,183,109,2229,2303,51.1
715,260,4,1,755,484,88,1487,2654,89.24
717,261,1,2,890,373,131,3351,1460,41.6
718,262,2,1,926,426,132,2885,3656,51.44
724,263,4,1,899,36,117,1120,3309,93.93
726,264,4,1,764,88,119,4928,8733,19.7
727,265,3,1,227,475,26,4292,2159,16.96
739,266,1,1,716,72,95,2028,8462,43.54
740,267,4,1,109,318,129,936,7462,59.4
750,268,3,2,372,114,194,1244,8628,54.66
753,269,1,2,362,113,70,2268,3130,24.03
757,270,3,1,3,488,64,4976,7167,11.15
759,271,2,3,495,328,121,4513,6094,20.92
764,272,1,1,730,274,26,4379,1077,23.52
768,273,2,1,811,420,158,2981,3421,46.6
772,274,4,1,667,368,38,1680,5824,63.87
778,275,3,1,262,441,12,2167,2711,32.99
781,276,3,3,24,447,4,1714,2380,27.71
784,277,1,2,0,472,3,749,1034,63.42
786,278,4,1,861,183,125,2053,1623,56.94
790,279,1,1,839,32,130,1069,3419,93.64
792,280,3,1,142,10,98,2890,9854,8.65
795,281,4,1,984,62,99,3568,4886,32.09
797,282,3,1,38,206,102,3989,9274,8.67
798,283,2,3,113,158,44,3680,4782,8.56
802,284,4,1,387,308,155,892,8772,95.29
803,285,1,1,385,457,65,3070,9609,29.54
804,286,4,1,591,83,130,3479,1931,23.11
807,287,2,1,205,60,114,2999,4732,12.64
808,288,4,1,394,154,107,1651,7237,39.67
809,289,1,1,850,326,145,3712,2553,35.59
811,290,1,2,168,102,14,2880,7944,9.86
813,291,1,3,699,256,168,2760,9320,40.69
814,292,4,3,375,249,82,3713,9327,19.01
818,293,2,1,31,221,151,3123,2609,12.9
819,294,1,2,259,198,105,3433,5098,16.37
820,295,3,3,569,446,139,2023,3966,57.04
825,296,3,1,696,288,127,4986,5369,22.28
826,297,1,1,857,226,58,3043,3958,37.5
827,298,4,1,510,338,166,2188,5509,46.34
828,299,3,1,167,357,119,2251,6316,28.57
830,300,3,1,23,294,144,888,3266,51.91
834,301,2,1,659,373,80,3458,1533,32.16
835,302,2,1,294,202,196,2609,7864,26.52
839,303,2,1,1,271,51,3761,6344,8.59
840,304,1,2,166,233,159,4618,1322,12.08
841,305,4,1,52,414,178,4208,8167,15.3
842,306,4,1,678,165,137,3636,8211,26.95
844,307,3,1,851,106,200,2045,3162,56.58
847,308,1,1,157,467,125,4245,5965,17.64
848,309,2,1,454,241,32,2939,6459,24.74
851,310,4,2,758,27,184,3697,7153,26.21
853,311,2,1,935,423,48,3320,9785,42.35
854,312,1,1,885,304,1,1652,4075,72.03
858,313,4,3,312,267,45,646,6812,96.59
862,314,2,3,57,104,78,1842,5456,12.98
864,315,2,1,945,123,9,2390,6393,45.06
865,316,3,3,761,39,140,4595,3392,20.46
869,317,4,1,492,324,92,1115,7311,81.43
870,318,1,1,752,282,72,1853,7388,59.69
875,319,1,3,413,305,172,4511,9304,19.73
878,320,1,1,501,372,170,4322,8169,24.13
879,321,3,1,72,127,111,3538,1544,8.76
880,322,4,1,909,252,68,1552,3662,79.19
881,323,1,1,240,260,24,1831,3964,28.62
883,324,1,2,533,112,9,1393,2076,46.95
885,325,3,2,846,253,159,3013,7872,41.75
888,326,4,1,624,55,59,872,4045,84.63
891,327,1,3,646,40,143,4290,3204,19.32
892,328,3,2,749,377,28,2877,5844,40.11
897,329,2,1,208,470,91,2788,5280,27.58
900,330,2,3,521,372,139,3706,7666,27.85
902,331,4,1,337,71,98,4239,4543,11.94
905,332,2,1,702,82,183,1801,5150,53.69
907,333,1,1,821,377,47,3717,5870,33.49
910,334,4,3,234,127,100,4129,9652,11.16
913,335,2,2,105,136,20,4950,5900,5.27
914,336,1,3,978,31,124,4616,3086,24.55
915,337,2,1,282,96,140,2908,3980,17.81
922,338,2,1,798,70,181,4339,1744,24.18
923,339,2,3,943,368,139,3756,8970,38.6
925,340,3,2,757,436,74,1524,2578,83.14
937,341,4,1,216,376,163,2656,9888,28.43
943,342,2,1,818,443,192,4720,1698,30.78
949,343,2,3,564,346,2,2269,8854,40.19
950,344,1,3,585,87,69,2420,8346,30.62
955,345,1,1,733,194,66,1906,5446,52.1
959,346,1,2,909,98,120,4218,6601,26.72
961,347,4,2,180,59,50,4254,3793,6.79
966,348,2,2,628,115,58,4537,1480,17.65
968,349,1,3,433,221,61,883,8541,80.97
969,350,3,1,685,302,185,1493,7816,78.5
970,351,1,1,586,139,153,2348,8925,37.39
973,352,4,1,976,63,40,2291,7069,47.1
974,353,4,1,372,471,199,2246,4390,46.39
977,354,3,1,489,415,74,1714,8232,57.06
987,355,2,1,126,397,76,3434,4530,17.44
988,356,4,3,779,135,188,2718,5225,40.54
989,357,4,1,753,85,1,2471,9034,33.95
996,358,2,2,391,248,97,2197,7759,33.5
999,359,4,1,452,399,179,3826,8689,26.92
1000,360,1,1,987,39,163,4305,2061,27.62
1005,361,2,3,430,165,21,4797,4479,12.84
1007,362,2,3,595,211,39,1565,5902,53.99
1014,363,3,1,484,300,152,3816,3025,24.53
1016,364,2,2,538,483,28,4958,7658,21.16
1018,365,3,1,873,396,91,2117,9145,64.24
1019,366,2,1,620,306,178,3841,7923,28.74
1021,367,1,3,777,166,8,1339,1236,71.02
1027,368,2,3,300,32,32,4651,4049,7.83
1030,369,3,1,263,357,101,3612,3347,19.96
1034,370,2,1,914,51,79,2402,4360,43.46
1036,371,1,1,166,14,117,1738,5312,17.09
1037,372,4,3,103,457,144,2045,2688,34.43
1039,373,2,2,899,106,27,1597,1915,64.62
1042,374,2,1,804,193,81,1635,2987,65.93
1046,375,3,1,908,36,47,1574,3638,62.96
1047,376,3,1,757,139,81,1755,4929,55.67
1048,377,4,1,948,77,192,4164,1768,29.23
1051,378,3,3,846,277,81,2743,2150,43.89
1056,379,1,3,509,325,86,4705,4319,19.55
1058,380,2,2,267,56,41,1387,7887,26.24
1059,381,4,1,137,262,8,3903,7065,10.43
1060,382,2,1,137,131,112,2056,4953,18.48
1063,383,2,1,972,157,176,3228,9109,40.43
1064,384,4,1,776,329,199,2877,7908,45.32
1066,385,3,1,229,207,68,2074,3026,24.3
1067,386,1,2,280,257,63,1783,5845,33.65
1068,387,2,3,83,206,30,4631,3926,6.89
1069,388,4,3,11,213,108,3326,1782,9.98
1071,389,4,1,86,272,108,2352,6020,19.81
1072,390,2,1,770,199,59,4212,1712,24.41
1075,391,2,1,449,37,11,4090,1011,12.15
1079,392,4,1,798,216,5,4267,2104,23.88
1082,393,1,1,237,286,15,2758,2171,19.51
1084,394,2,3,338,25,75,3174,1898,13.8
1085,395,1,1,416,447,144,3268,7243,30.81
1088,396,4,3,189,159,140,563,8788,86.68
1091,397,3,1,323,440,139,1340,6671,67.31
1093,398,4,1,305,136,27,4951,8213,9.45
1094,399,1,3,208,445,61,1782,1143,40.07
1096,400,2,3,525,394,107,1849,4768,55.49
1098,401,2,1,215,230,93,4574,5543,11.76
1102,402,3,1,396,369,15,863,3666,90.38
1103,403,1,3,993,192,54,3191,5596,38.83
1106,404,2,1,861,464,39,4037,9511,33.79
1112,405,1,1,430,261,120,4945,9917,16.4
1113,406,2,1,548,155,107,1979,5561,40.93
1114,407,1,1,26,40,33,4634,7266,2.14
1119,408,3,3,477,373,174,2316,4279,44.21
1120,409,2,2,1,427,198,4571,6854,13.7
1124,410,1,3,766,408,172,2620,5168,51.37
1125,411,3,1,473,479,0,2709,5283,35.14
1126,412,3,1,750,107,185,2608,5720,39.95
1128,413,4,1,61,213,184,4883,8849,9.38
1132,414,1,2,472,359,54,2133,7570,41.49
1136,415,2,2,690,393,178,4484,4724,28.12
1137,416,3,2,450,406,73,3784,9848,24.55
1138,417,3,1,188,227,23,3799,4676,11.53
1141,418,1,1,107,188,116,1929,3987,21.31
1146,419,1,1,484,246,106,2525,8277,33.11
1148,420,3,3,646,73,153,3393,8638,25.7
1149,421,1,1,499,80,113,3003,5776,23.04
1165,422,4,1,127,20,112,573,9229,45.2
1166,423,1,1,251,151,193,1937,1728,30.72
1167,424,4,1,929,185,151,2959,4482,42.75
1168,425,4,2,651,67,89,4598,2158,17.55
1171,426,2,3,528,460,41,1603,6728,64.19
1178,427,1,1,891,23,97,2209,3010,45.77
1179,428,1,1,222,7,108,2004,1369,16.82
1181,429,1,3,526,307,179,4666,9262,21.69
1182,430,3,1,206,12,8,3579,9462,6.31
1184,431,4,1,67,95,58,635,4892,34.65
1193,432,2,1,126,156,39,989,9476,32.46
1195,433,3,3,800,226,142,1870,1760,62.46
1200,434,4,1,714,185,196,1242,3954,88.16
1201,435,4,1,297,69,144,3061,8362,16.66
1202,436,1,3,746,432,193,3629,8768,37.78
1203,437,3,1,112,115,75,2450,3200,12.33
1204,438,2,1,302,151,184,4435,6276,14.36
1205,439,3,1,142,252,38,2720,9821,15.88
1206,440,4,3,196,473,62,3069,7341,23.82
1211,441,4,1,707,71,195,3616,6992,26.91
1212,442,2,3,492,191,147,982,9059,84.52
1214,443,3,2,930,101,86,1223,8036,91.33
1216,444,3,1,42,484,100,1622,9008,38.59
1219,445,4,3,253,253,162,4016,4386,16.63
1220,446,3,2,137,216,163,2430,9643,21.23
1221,447,4,1,859,232,25,3736,8944,29.87
1222,448,4,1,873,355,48,2830,3556,45.09
1223,449,3,3,523,376,112,4138,3961,24.43
1228,450,2,1,805,338,72,4072,5952,29.84
1230,451,1,1,973,33,20,1674,8774,61.29
1231,452,2,3,543,327,157,1536,7843,66.86
1235,453,3,1,299,159,99,4711,5623,11.82
1239,454,2,1,400,297,68,1782,1332,42.93
1240,455,1,3,881,396,195,2690,8552,54.72
1241,456,3,1,651,356,66,1863,9748,57.6
1247,457,3,3,21,285,164,2542,9196,18.49
1248,458,1,1,765,495,1,3820,7605,33.01
1250,459,2,1,474,340,50,3278,9811,26.36
1251,460,1,1,8,94,4,4213,8908,2.52
1255,461,3,2,713,418,65,1777,1443,67.3
1258,462,3,2,626,295,35,1210,6331,79.01
1263,463,3,1,679,249,118,3421,8425,30.58
1264,464,2,3,507,369,9,1100,6010,80.45
1265,465,2,1,346,344,83,3113,2667,24.83
1268,466,3,1,289,491,152,2589,2408,36.0
1269,467,2,1,694,323,41,1436,8940,73.68
1272,468,1,2,585,386,39,3840,2281,26.3
1275,469,3,1,255,258,112,4441,7093,14.07
1279,470,3,1,596,291,140,1074,9542,95.62
1282,471,2,1,543,386,101,3896,8622,26.44
1284,472,1,1,321,412,76,3254,3154,24.86
1285,473,3,1,674,209,150,2272,2939,45.47
1286,474,4,1,372,82,93,3520,3552,15.54
1290,475,2,1,828,66,171,1614,3320,65.99
1292,476,3,1,16,116,17,3968,8814,3.76
1293,477,1,1,945,336,43,4711,3314,28.1
1294,478,4,1,785,487,98,4620,7199,29.65
1296,479,2,1,289,114,58,4281,5409,10.77
1300,480,1,1,671,247,71,2827,7402,34.98
1302,481,4,2,309,359,115,1448,1610,54.07
1305,482,3,2,567,485,49,1230,5064,89.51
1309,483,2,2,143,124,95,644,2142,56.21
1310,484,4,3,729,499,9,4497,9493,27.51
1313,485,1,1,291,200,105,1828,4628,32.6
1314,486,4,1,137,259,40,2282,8966,19.11
1317,487,4,1,474,485,119,3558,6873,30.3
1319,488,3,1,561,337,14,3366,9191,27.09
1326,489,1,1,13,146,144,3581,5089,8.46
1328,490,1,1,44,439,175,3181,6020,20.69
1332,491,4,1,294,216,67,3547,3461,16.27
1334,492,2,1,321,3,66,1001,1874,38.96
1337,493,2,3,965,387,175,2849,2764,53.6
1339,494,3,1,462,181,153,2686,2722,29.64
1342,495,3,2,571,85,78,2516,7588,29.17
1353,496,3,2,802,171,183,1185,5668,97.55
1355,497,3,1,521,172,153,1702,4258,49.71
1358,498,2,1,246,241,160,3882,7092,16.67
1363,499,4,2,811,51,45,2324,7981,39.03
1365,500,2,1,65,149,184,3798,5700,10.48
1366,501,2,1,626,84,152,4067,5386,21.19
1367,502,4,1,359,329,102,996,1310,79.32
1369,503,3,1,678,111,83,3864,9853,22.57
1373,504,3,1,567,459,130,2109,1055,54.81
1378,505,2,1,472,64,96,4561,3226,13.86
1382,506,1,3,830,482,157,3974,1466,36.97
1387,507,3,2,265,304,93,4900,4385,13.51
1388,508,2,2,925,52,59,4354,1216,23.79
1396,509,2,1,322,464,99,3147,3036,28.12
1398,510,4,1,112,356,162,3669,9955,17.17
1400,511,2,1,599,248,8,3382,1742,25.28
1403,512,4,1,720,324,101,1553,4697,73.73
1404,513,4,1,457,240,16,2572,2246,27.72
1406,514,1,2,441,140,126,2155,3908,32.81
1409,515,4,2,746,311,132,2058,2998,57.77
1411,516,1,2,78,161,131,2852,9377,12.97
1413,517,4,3,736,147,73,4524,1117,21.13
1416,518,4,1,381,266,127,2179,2441,35.52
1421,519,3,1,761,446,7,2176,7513,55.79
1423,520,1,3,49,8,142,2811,7030,7.08
1431,521,1,1,713,119,22,2775,1963,30.77
1433,522,4,1,146,201,117,2785,5176,16.66
1434,523,1,3,57,128,152,3098,9364,10.88
1435,524,3,1,723,292,143,2785,4939,41.58
1436,525,4,1,581,460,200,1888,6362,65.73
1438,526,3,3,846,50,33,1034,5021,89.85
1439,527,4,2,175,454,112,2989,9949,24.79
1440,528,2,1,792,24,30,4968,6432,17.03
1442,529,4,3,744,63,136,2543,1816,37.08
1443,530,3,1,568,195,56,3434,9961,23.85
1446,531,3,1,189,386,190,3925,5918,19.49
1448,532,3,1,838,379,52,1790,3513,70.89
1450,533,2,2,790,36,16,4740,1154,17.76
1457,534,1,3,714,330,24,1645,5334,64.92
1459,535,2,2,679,2,116,2377,1302,33.53
1460,536,2,1,398,295,92,3216,7173,24.41
1461,537,2,1,11,314,43,3258,7184,11.3
1463,538,3,1,295,326,29,4056,1896,16.03
1465,539,2,1,354,221,119,3061,8163,22.67
1472,540,1,2,223,252,198,4608,3650,14.61
1475,541,1,1,2,468,0,1629,7846,28.85
1478,542,1,2,256,335,1,4441,1718,13.33
1483,543,2,1,319,439,33,2656,7331,29.78
1487,544,4,1,88,367,57,2584,9720,19.81
1490,545,4,1,432,186,66,3709,9070,18.44
1492,546,3,1,80,429,124,2046,7978,30.94
1493,547,2,1,658,25,195,2110,8804,41.61
1500,548,2,1,912,359,88,1370,6523,99.2
1501,549,1,3,460,309,79,3583,5775,23.67
1506,550,4,1,55,54,51,2710,2696,5.9
1510,551,4,1,259,22,79,2849,2765,12.64
1514,552,4,1,58,87,93,2545,9312,9.35
1522,553,4,3,133,191,164,686,5113,71.14
1525,554,2,3,825,60,151,2354,8104,44.01
1528,555,4,3,977,81,139,4808,6103,24.9
1529,556,3,1,573,27,82,4509,1063,15.13
1530,557,1,1,181,404,139,2631,5188,27.52
1532,558,3,1,327,10,131,2609,9783,17.94
1534,559,2,1,948,75,185,4133,5549,29.23
1537,560,2,3,130,226,115,4462,8046,10.56
1538,561,2,1,269,22,113,2048,1081,19.73
1553,562,1,1,616,351,137,4326,5694,25.52
1555,563,1,2,256,407,101,1842,2504,41.48
1557,564,4,1,230,268,73,738,2628,77.37
1559,565,4,2,958,487,130,3079,9970,51.15
1560,566,1,1,538,39,143,1758,5315,40.96
1561,567,2,1,468,161,177,1220,1112,66.07
1563,568,2,1,137,229,47,1925,4175,21.45
1564,569,1,2,993,398,34,1497,7656,95.19
1569,570,4,1,122,398,91,4930,9647,12.39
1570,571,1,1,509,181,181,3451,1776,25.24
