audience_id,Audience Gender,Audience Age,Audience Location,Audience Interests
563,Female,28,Gabon,painting
564,Female,22,Belarus,could
565,Other,41,Papua New Guinea,first
566,Male,26,Spain,hair
567,Female,39,Nepal,focus
568,Other,50,Kazakhstan,tree
569,Other,62,Pitcairn Islands,year
570,Male,28,British Indian Ocean Territory (Chagos Archipelago),human
571,Other,41,Belarus,full
572,Other,35,Norfolk Island,realize
573,Other,21,Chad,weight
574,Male,45,Namibia,good
575,Female,54,Burundi,special
576,Female,32,Liberia,fill
577,Other,44,Saint Lucia,safe
578,Other,25,Ethiopia,case
579,Female,58,Botswana,great
580,Male,39,Martinique,year
581,Other,45,Burkina Faso,affect
582,Male,23,Morocco,suggest
583,Male,49,Cuba,same
584,Other,60,Central African Republic,test
585,Other,39,Oman,place
586,Male,47,Central African Republic,when
587,Female,31,Hungary,concern
588,Other,55,United Arab Emirates,sense
589,Male,24,Libyan Arab Jamahiriya,should
590,Male,24,Cocos (Keeling) Islands,do
591,Other,26,Pakistan,together
592,Other,62,Malaysia,hot
593,Other,43,Finland,quality
594,Male,51,Netherlands Antilles,tax
595,Female,56,Japan,light
596,Other,42,Haiti,appear
597,Other,51,Bahrain,style
598,Male,33,China,international
599,Female,48,Vanuatu,before
600,Other,29,Norfolk Island,record
601,Male,23,Ecuador,not
602,Other,18,Christmas Island,for
603,Female,50,Tunisia,newspaper
604,Male,26,Croatia,help
605,Female,29,Cote d'Ivoire,wall
606,Female,42,Tokelau,fill
607,Female,44,Central African Republic,design
608,Male,50,Aruba,town
609,Male,19,Mauritania,determine
610,Female,60,Korea,situation
611,Other,32,Nigeria,else
612,Other,51,Congo,general
613,Female,54,Japan,public
614,Other,46,Vanuatu,glass
615,Male,63,Nigeria,how
616,Female,23,Tajikistan,heart
617,Female,23,Bolivia,rich
618,Female,33,Rwanda,tree
619,Male,26,Peru,these
620,Male,26,Bulgaria,deep
621,Male,48,Swaziland,enter
622,Male,59,Haiti,newspaper
623,Other,34,Saint Martin,interesting
624,Male,60,Guyana,with
625,Female,49,Turkmenistan,statement
626,Other,65,Guyana,continue
627,Female,35,Guam,adult
628,Other,47,Dominican Republic,add
629,Other,21,Afghanistan,movie
630,Male,32,Isle of Man,development
631,Other,65,Reunion,sure
632,Male,48,Hong Kong,able
633,Male,65,Mongolia,pattern
634,Male,23,Philippines,poor
635,Female,22,Burkina Faso,Mrs
636,Other,59,Algeria,from
637,Other,46,Rwanda,majority
638,Other,19,Ireland,debate
639,Female,30,Spain,red
640,Other,57,Saint Lucia,anything
641,Male,51,United States of America,white
642,Other,40,Bouvet Island (Bouvetoya),clear
643,Female,27,Namibia,others
644,Other,30,Philippines,too
645,Male,23,Lao People's Democratic Republic,sell
646,Other,26,Faroe Islands,main
647,Female,37,Iraq,word
648,Other,59,Mozambique,west
649,Other,32,Portugal,computer
650,Female,20,Equatorial Guinea,always
651,Male,58,Slovenia,stage
652,Female,32,Maldives,ever
653,Other,58,Falkland Islands (Malvinas),increase
654,Male,65,South Georgia and the South Sandwich Islands,media
655,Other,22,Italy,husband
656,Other,22,Jamaica,career
657,Male,47,Turkmenistan,answer
658,Female,23,North Macedonia,term
659,Other,32,Ecuador,responsibility
660,Female,56,French Southern Territories,treatment
661,Female,20,Sweden,real
662,Male,22,United Kingdom,Congress
663,Female,30,Jordan,affect
664,Other,54,Sudan,item
665,Other,39,Russian Federation,bring
666,Other,51,Reunion,all
667,Other,29,Yemen,whatever
668,Male,47,Cambodia,find
669,Female,50,Turks and Caicos Islands,somebody
670,Other,47,Lebanon,building
671,Male,46,Guinea,if
672,Male,36,Falkland Islands (Malvinas),prepare
673,Other,38,Jordan,water
674,Male,58,Vietnam,choose
675,Male,37,Andorra,politics
676,Female,50,Burundi,magazine
677,Other,44,Bhutan,past
678,Other,27,Bahamas,join
679,Male,37,Singapore,girl
680,Male,41,Algeria,near
681,Male,34,Cambodia,TRUE
682,Male,42,Bolivia,large
683,Other,31,Guyana,partner
684,Male,45,Algeria,recognize
685,Female,22,Jersey,population
686,Other,43,Bahrain,old
687,Other,45,Algeria,into
688,Male,39,Seychelles,race
689,Other,31,Thailand,describe
690,Male,30,Montenegro,soon
691,Male,26,Hong Kong,nothing
692,Male,51,Nauru,name
693,Other,22,Greece,up
694,Other,63,Saint Barthelemy,top
695,Other,58,Svalbard & Jan Mayen Islands,family
696,Other,62,Indonesia,leave
697,Other,29,Chile,compare
698,Female,22,Belgium,sound
699,Male,45,Switzerland,offer
700,Other,59,Chile,white
701,Other,65,Cuba,society
702,Male,62,Botswana,spring
703,Male,37,Mauritania,drop
704,Female,40,Estonia,test
705,Female,43,Ireland,great
706,Male,19,Cocos (Keeling) Islands,course
707,Other,36,Reunion,evidence
708,Male,44,Marshall Islands,wrong
709,Female,18,Gibraltar,himself
710,Female,31,Guatemala,guy
711,Female,25,Belize,list
712,Male,48,Sao Tome and Principe,different
713,Male,30,Ghana,next
714,Male,45,Jamaica,his
715,Female,52,Morocco,away
716,Female,39,Christmas Island,group
717,Male,40,Liechtenstein,agree
718,Female,54,South Africa,law
719,Other,23,Croatia,head
720,Other,22,Croatia,likely
721,Other,38,Papua New Guinea,other
722,Other,24,Brunei Darussalam,remain
723,Female,40,Afghanistan,financial
724,Male,40,Uganda,control
725,Other,25,New Zealand,lose
726,Other,49,Belgium,century
727,Other,39,Bosnia and Herzegovina,act
728,Female,57,Algeria,three
729,Male,28,Finland,call
730,Male,57,Dominican Republic,Congress
731,Female,19,Singapore,civil
732,Other,25,United States Minor Outlying Islands,town
733,Other,37,Falkland Islands (Malvinas),seek
734,Other,32,Angola,beyond
735,Female,37,Belgium,relationship
736,Female,34,Haiti,recently
737,Other,35,Iraq,effort
738,Other,21,Algeria,various
739,Male,43,Bouvet Island (Bouvetoya),expect
740,Other,40,Australia,your
741,Other,40,Turkmenistan,employee
742,Male,36,Cambodia,current
743,Female,27,Luxembourg,not
744,Male,20,Turkmenistan,allow
745,Other,33,Mayotte,front
746,Male,53,New Zealand,minute
747,Male,54,Timor-Leste,war
748,Female,34,Turks and Caicos Islands,activity
749,Female,56,Romania,military
750,Female,65,Finland,guy
751,Female,56,Indonesia,wrong
752,Other,41,Burkina Faso,forget
753,Female,20,Portugal,mean
754,Female,30,Norway,all
755,Female,46,Grenada,performance
756,Other,48,Fiji,name
757,Other,64,Guadeloupe,why
758,Female,18,Suriname,value
759,Other,23,Mexico,service
760,Female,61,Martinique,back
761,Other,56,Canada,house
762,Female,63,Spain,partner
763,Other,35,Sri Lanka,story
764,Female,44,Kuwait,note
765,Other,24,Gambia,hundred
766,Female,22,Costa Rica,main
767,Male,58,Bolivia,around
768,Other,22,New Zealand,police
769,Other,43,Czech Republic,side
770,Female,30,Brazil,tough
771,Other,61,Bolivia,firm
772,Male,65,Spain,plant
773,Female,44,Libyan Arab Jamahiriya,radio
774,Female,62,Brazil,how
775,Male,45,Mauritius,one
776,Male,51,Netherlands Antilles,four
777,Other,54,Pakistan,night
778,Female,62,Reunion,thank
779,Other,64,Peru,break
780,Male,18,Kiribati,account
781,Female,35,Cameroon,get
782,Other,24,Cote d'Ivoire,condition
783,Other,50,Seychelles,sport
784,Other,21,Pakistan,store
785,Male,47,Iceland,memory
786,Other,48,Ukraine,yourself
787,Other,28,Cambodia,add
788,Other,60,Ghana,result
789,Male,55,Equatorial Guinea,list
790,Female,39,Chad,field
791,Male,21,Belgium,recently
792,Female,25,Myanmar,think
793,Female,18,Iraq,police
794,Female,25,Mali,before
795,Male,35,Cayman Islands,appear
796,Female,25,Morocco,baby
797,Other,27,Korea,explain
798,Male,56,Marshall Islands,outside
799,Male,34,Uganda,sign
800,Male,24,Zambia,song
801,Male,33,Ghana,yourself
802,Other,48,Guatemala,term
803,Female,59,United States Minor Outlying Islands,save
804,Male,53,Ukraine,defense
805,Female,59,Jamaica,eye
806,Male,33,Burundi,design
807,Other,20,Romania,he
808,Other,37,Ukraine,fund
809,Other,23,Bahrain,opportunity
810,Male,34,Switzerland,since
811,Other,27,Eritrea,yet
812,Other,37,North Macedonia,window
813,Female,55,Morocco,certain
814,Male,63,Nicaragua,several
815,Male,62,Turkey,relate
816,Other,54,Macao,eat
817,Male,32,Kenya,system
818,Female,35,El Salvador,bar
819,Male,61,Iran,course
820,Other,37,Lithuania,real
821,Female,26,Bhutan,tough
822,Male,61,Guernsey,approach
823,Male,64,Malaysia,camera
824,Other,19,Hungary,decide
825,Female,57,Bolivia,with
826,Other,30,Cambodia,rule
827,Male,18,Puerto Rico,bring
828,Female,64,Paraguay,usually
829,Female,65,Kiribati,tree
830,Male,60,Nauru,baby
831,Male,39,Mongolia,cell
832,Male,42,Palau,day
833,Male,23,Armenia,TV
834,Male,54,Fiji,consider
835,Other,63,Vietnam,identify
836,Female,35,Croatia,wife
837,Male,43,Romania,admit
838,Male,39,Maldives,answer
839,Other,31,Czech Republic,oil
840,Female,27,Antarctica (the territory South of 60 deg S),person
841,Male,65,Saudi Arabia,nice
842,Male,62,Congo,physical
843,Other,27,France,culture
844,Female,20,Greenland,everybody
845,Male,39,Nauru,treat
846,Other,26,Romania,arm
847,Female,58,Mayotte,ahead
848,Other,43,Sweden,those
849,Male,60,Congo,evening
850,Male,54,Pitcairn Islands,likely
851,Female,29,Niger,card
852,Female,48,Bahrain,song
853,Male,47,India,bed
